sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,h5,4,0.0611,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,h5,4,0.0612,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,h5,4,0.0617,True
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,h8,4,0.0599,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,h8,2,0.0011,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,h8,4,0.0609,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,h8,4,0.0601,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h8,4,0.0599,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h8,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,h8,4,0.0640,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,h8,2,0.0026,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,h8,4,0.0639,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,h8,2,0.0014,True
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,h8,4,0.0605,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,h1,5,0.0674,True
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,h1,5,0.0668,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,h1,5,0.0671,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,h1,5,0.0677,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,h1,5,0.0671,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,h1,5,0.0679,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,h1,5,0.0679,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,h2,5,0.0684,True
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,h2,5,0.0680,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,h2,5,0.0675,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,h2,5,0.0676,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,h2,5,0.0681,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,h2,5,0.0678,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,h2,5,0.0680,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,h5,5,0.0715,True
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,h5,5,0.0714,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,h5,5,0.0715,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,h5,5,0.0704,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,h5,5,0.0701,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,h5,5,0.0706,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,h5,5,0.0715,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,h8,1,0.0015,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,h8,5,0.0700,True
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,h8,1,0.0015,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,h8,5,0.0695,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,h8,1,0.0021,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,h8,5,0.0696,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,h8,1,0.0021,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,h8,5,0.0701,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,h8,1,0.0021,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,h8,5,0.0697,True
sigma-2,mglcs_10_100_2_2.txt,250,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,250,imbs_glcs,h8,5,0.0701,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,h8,1,0.0030,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,h8,5,0.0700,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,h1,4,0.0537,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,h1,4,0.0522,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,h1,4,0.0522,True
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,h1,4,0.0519,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,h1,4,0.0525,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,h1,4,0.0523,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,h1,4,0.0532,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,h2,4,0.0524,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,h2,4,0.0520,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,h2,4,0.0519,True
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,h2,4,0.0531,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,h2,4,0.0536,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,h2,4,0.0519,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,h2,4,0.0526,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,h5,4,0.0542,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,h5,4,0.0547,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,h5,4,0.0544,True
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,h5,4,0.0559,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,h5,4,0.0563,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,h5,4,0.0554,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,h5,4,0.0555,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,h8,4,0.0546,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,h8,4,0.0540,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,h8,4,0.0547,True
