sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_50_2_5.txt,1,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_50_2_5.txt,1,imbs_glcs,h8,5,0.0340,True
sigma-2,mglcs_10_50_2_6.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,1,imbs_glcs,h1,4,0.0335,True
sigma-2,mglcs_10_50_2_6.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,1,imbs_glcs,h2,4,0.0345,True
sigma-2,mglcs_10_50_2_6.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,1,imbs_glcs,h5,4,0.0357,True
sigma-2,mglcs_10_50_2_6.txt,1,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_50_2_6.txt,1,imbs_glcs,h8,4,0.0343,True
sigma-2,mglcs_10_50_2_7.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,1,imbs_glcs,h1,4,0.0335,True
sigma-2,mglcs_10_50_2_7.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,1,imbs_glcs,h2,4,0.0335,True
sigma-2,mglcs_10_50_2_7.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,1,imbs_glcs,h5,4,0.0351,True
sigma-2,mglcs_10_50_2_7.txt,1,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,1,imbs_glcs,h8,4,0.0335,True
sigma-2,mglcs_10_50_2_8.txt,1,beam_search_glcs,h1,3,0.0000,True
sigma-2,mglcs_10_50_2_8.txt,1,imbs_glcs,h1,3,0.0322,True
sigma-2,mglcs_10_50_2_8.txt,1,beam_search_glcs,h2,3,0.0000,True
sigma-2,mglcs_10_50_2_8.txt,1,imbs_glcs,h2,3,0.0336,True
sigma-2,mglcs_10_50_2_8.txt,1,beam_search_glcs,h5,3,0.0000,True
sigma-2,mglcs_10_50_2_8.txt,1,imbs_glcs,h5,3,0.0342,True
sigma-2,mglcs_10_50_2_8.txt,1,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_50_2_8.txt,1,imbs_glcs,h8,4,0.0338,True
sigma-2,mglcs_10_50_2_9.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_9.txt,1,imbs_glcs,h1,7,0.0333,True
sigma-2,mglcs_10_50_2_9.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_9.txt,1,imbs_glcs,h2,5,0.0347,True
sigma-2,mglcs_10_50_2_9.txt,1,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_50_2_9.txt,1,imbs_glcs,h5,4,0.0380,True
sigma-2,mglcs_10_50_2_9.txt,1,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_50_2_9.txt,1,imbs_glcs,h8,7,0.0391,True
sigma-2,mglcs_2_100_2_0.txt,1,beam_search_glcs,h1,64,0.0005,True
