m,n,sigma,0.0,0.00,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.0
5,200,2,47.0,47.0,46.3,46.9,46.2,45.6,45.3,46.9,47.8,46.6,45.1,48.6,45.9,45.9,46.3,48.0,47.0,45.9,44.9,45.5,45.9,45.6
5,200,4,41.4,41.4,41.4,42.0,41.8,42.6,42.9,41.3,40.4,40.2,41.3,42.3,42.0,42.1,41.1,43.2,42.1,42.3,42.5,42.1,42.0,40.5
5,500,2,44.7,44.7,45.0,45.4,44.1,44.9,44.9,45.9,46.5,46.9,45.0,44.4,44.4,44.2,45.5,47.2,43.6,45.2,45.3,44.8,45.9,45.1
5,500,4,55.1,55.1,54.5,57.1,57.7,54.6,56.9,53.7,58.3,55.3,54.1,56.4,56.5,54.8,54.6,57.5,56.3,56.6,57.2,57.1,56.8,55.4
10,50,2,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.6,11.7,11.7,11.7,11.7,11.6,11.6,11.7,11.6,11.6,11.7,11.7,11.7,11.7,11.7
10,50,4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.5,7.3,7.3,7.4,7.4,7.7,7.7,7.6,7.7,7.7,7.4,7.4,7.4,7.4,7.4
10,100,2,14.6,14.6,14.6,14.6,14.6,14.3,14.1,14.4,14.8,14.7,14.2,14.2,14.1,14.3,14.4,13.8,13.7,14.0,13.7,14.3,14.4,14.4
10,100,4,9.5,9.5,9.5,9.5,9.3,9.8,9.8,9.9,10.0,10.0,9.7,9.6,9.8,9.9,9.3,9.8,10.0,9.6,9.9,9.7,9.7,9.7
10,200,2,14.8,14.8,14.8,14.8,15.1,14.8,13.8,14.5,14.2,14.5,14.9,14.7,14.9,14.9,14.2,14.4,14.3,14.3,14.0,14.4,14.5,14.5
10,200,4,9.4,9.4,9.4,9.4,9.7,9.3,9.0,9.2,9.2,9.4,9.3,9.3,9.4,9.5,9.0,9.8,9.6,9.5,9.5,9.5,9.5,9.5
10,500,2,14.8,14.8,14.8,14.8,14.8,15.0,14.9,14.1,14.6,14.8,15.0,14.9,15.0,15.4,14.7,15.1,14.6,14.8,14.2,15.0,14.8,14.8
10,500,4,9.8,9.8,9.8,9.8,9.8,9.9,9.7,9.6,9.7,9.2,9.7,9.8,9.4,9.6,9.7,9.3,9.3,10.1,9.8,9.9,9.9,9.9
