sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,h2,4,0.0210,True
sigma-2,mglcs_10_100_2_1.txt,10000,beam_search_glcs,h2,2,0.0014,True
sigma-2,mglcs_10_100_2_1.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,1,imbs_glcs,h5,4,0.0068,True
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,h5,4,0.0406,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,h5,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,h5,4,0.1409,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,h5,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,h5,4,0.1542,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h5,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h5,4,0.1447,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,h5,4,0.0183,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,h5,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,h5,4,0.0182,True
sigma-2,mglcs_10_100_2_1.txt,10000,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,1,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,1,imbs_glcs,h8,4,0.0081,True
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,h8,6,0.0468,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,h8,4,0.1467,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,h8,4,0.1465,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h8,2,0.0021,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h8,4,0.1475,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,h8,4,0.0201,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,h8,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,h8,4,0.0200,True
sigma-2,mglcs_10_100_2_1.txt,10000,beam_search_glcs,h8,2,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,h1,8,0.0060,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,h1,10,0.0465,True
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,h1,5,0.1295,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,h1,5,0.1330,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,h1,5,0.1315,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,h1,5,0.0180,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,h1,5,0.0193,True
sigma-2,mglcs_10_100_2_2.txt,10000,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,h2,5,0.0060,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,h2,8,0.0495,True
