sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_5.txt,500,imbs_glcs,new_h8,4,0.0225,True
sigma-2,mglcs_10_100_2_5.txt,10000,beam_search_glcs,new_h8,1,0.0022,True
sigma-2,mglcs_10_100_2_6.txt,1,beam_search_glcs,new_h8,1,0.0006,True
sigma-2,mglcs_10_100_2_6.txt,1,imbs_glcs,new_h8,4,0.0100,True
sigma-2,mglcs_10_100_2_6.txt,5,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_6.txt,5,imbs_glcs,new_h8,6,0.0477,True
sigma-2,mglcs_10_100_2_6.txt,10,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,10,imbs_glcs,new_h8,4,0.1348,True
sigma-2,mglcs_10_100_2_6.txt,20,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,20,imbs_glcs,new_h8,4,0.1343,True
sigma-2,mglcs_10_100_2_6.txt,50,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,50,imbs_glcs,new_h8,4,0.1424,True
sigma-2,mglcs_10_100_2_6.txt,100,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_6.txt,100,imbs_glcs,new_h8,4,0.0247,True
sigma-2,mglcs_10_100_2_6.txt,250,beam_search_glcs,new_h8,1,0.0039,True
sigma-2,mglcs_10_100_2_6.txt,250,imbs_glcs,new_h8,4,0.0185,True
sigma-2,mglcs_10_100_2_6.txt,500,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_6.txt,500,imbs_glcs,new_h8,4,0.0193,True
sigma-2,mglcs_10_100_2_6.txt,10000,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,1,beam_search_glcs,new_h8,1,0.0061,True
sigma-2,mglcs_10_100_2_7.txt,1,imbs_glcs,new_h8,6,0.0075,True
sigma-2,mglcs_10_100_2_7.txt,5,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,5,imbs_glcs,new_h8,6,0.0471,True
sigma-2,mglcs_10_100_2_7.txt,10,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,10,imbs_glcs,new_h8,4,0.1366,True
sigma-2,mglcs_10_100_2_7.txt,20,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,20,imbs_glcs,new_h8,4,0.1423,True
sigma-2,mglcs_10_100_2_7.txt,50,beam_search_glcs,new_h8,1,0.0057,True
sigma-2,mglcs_10_100_2_7.txt,50,imbs_glcs,new_h8,4,0.1348,True
sigma-2,mglcs_10_100_2_7.txt,100,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_7.txt,100,imbs_glcs,new_h8,3,0.0208,True
sigma-2,mglcs_10_100_2_7.txt,250,beam_search_glcs,new_h8,1,0.0015,True
sigma-2,mglcs_10_100_2_7.txt,250,imbs_glcs,new_h8,3,0.0186,True
sigma-2,mglcs_10_100_2_7.txt,500,beam_search_glcs,new_h8,1,0.0016,True
sigma-2,mglcs_10_100_2_7.txt,500,imbs_glcs,new_h8,3,0.0183,True
sigma-2,mglcs_10_100_2_7.txt,10000,beam_search_glcs,new_h8,1,0.0000,True
