sigma,filename,beam_width,base_heuristic,length_normal,length_prob,delta_length,time_s_normal,time_s_prob,delta_time
sigma-2,mglcs_3_200_2_1.txt,10,h7,14.0,5.0,-9.0,0.0018,0.0801,0.07830000000000001
sigma-2,mglcs_3_200_2_2.txt,10,h1,8.0,8.0,0.0,0.0025,0.2518,0.24930000000000002
sigma-2,mglcs_3_200_2_2.txt,10,h2,8.0,8.0,0.0,0.0023,0.2898,0.2875
sigma-2,mglcs_3_200_2_2.txt,10,h3,8.0,8.0,0.0,0.0023,0.2342,0.2319
sigma-2,mglcs_3_200_2_2.txt,10,h4,8.0,8.0,0.0,0.0026,0.2856,0.28300000000000003
sigma-2,mglcs_3_200_2_2.txt,10,h5,8.0,8.0,0.0,0.0044,0.6332,0.6288
sigma-2,mglcs_3_200_2_2.txt,10,h6,8.0,8.0,0.0,0.0022,0.3121,0.3099
sigma-2,mglcs_3_200_2_2.txt,10,h7,8.0,7.0,-1.0,0.0025,0.3257,0.3232
sigma-2,mglcs_3_200_2_3.txt,10,h1,2.0,2.0,0.0,0.0002,0.0213,0.0211
sigma-2,mglcs_3_200_2_3.txt,10,h2,2.0,2.0,0.0,0.0003,0.0327,0.0324
sigma-2,mglcs_3_200_2_3.txt,10,h3,2.0,2.0,0.0,0.0004,0.0269,0.0265
sigma-2,mglcs_3_200_2_3.txt,10,h4,2.0,2.0,0.0,0.0002,0.023,0.0228
sigma-2,mglcs_3_200_2_3.txt,10,h5,2.0,2.0,0.0,0.0005,0.0383,0.0378
sigma-2,mglcs_3_200_2_3.txt,10,h6,2.0,2.0,0.0,0.0003,0.0226,0.022299999999999997
sigma-2,mglcs_3_200_2_3.txt,10,h7,2.0,2.0,0.0,0.0003,0.0245,0.0242
sigma-2,mglcs_3_200_2_4.txt,10,h1,4.0,4.0,0.0,0.0006,0.0527,0.052099999999999994
sigma-2,mglcs_3_200_2_4.txt,10,h2,4.0,4.0,0.0,0.0006,0.058,0.0574
sigma-2,mglcs_3_200_2_4.txt,10,h3,4.0,4.0,0.0,0.0006,0.0558,0.0552
sigma-2,mglcs_3_200_2_4.txt,10,h4,4.0,4.0,0.0,0.0005,0.0531,0.0526
sigma-2,mglcs_3_200_2_4.txt,10,h5,4.0,4.0,0.0,0.001,0.0825,0.0815
sigma-2,mglcs_3_200_2_4.txt,10,h6,4.0,4.0,0.0,0.0005,0.0498,0.0493
sigma-2,mglcs_3_200_2_4.txt,10,h7,4.0,4.0,0.0,0.0006,0.0573,0.05669999999999999
sigma-2,mglcs_3_200_2_5.txt,10,h1,10.0,10.0,0.0,0.0015,0.1208,0.1193
sigma-2,mglcs_3_200_2_5.txt,10,h2,10.0,2.0,-8.0,0.0011,0.0348,0.0337
sigma-2,mglcs_3_200_2_5.txt,10,h3,10.0,10.0,0.0,0.0015,0.1291,0.1276
sigma-2,mglcs_3_200_2_5.txt,10,h4,10.0,10.0,0.0,0.0012,0.1189,0.1177
sigma-2,mglcs_3_200_2_5.txt,10,h5,10.0,10.0,0.0,0.0017,0.093,0.0913
sigma-2,mglcs_3_200_2_5.txt,10,h6,10.0,10.0,0.0,0.0011,0.0552,0.0541
sigma-2,mglcs_3_200_2_5.txt,10,h7,10.0,2.0,-8.0,0.0011,0.0397,0.0386
sigma-2,mglcs_3_200_2_6.txt,10,h1,14.0,14.0,0.0,0.0049,0.2928,0.2879
sigma-2,mglcs_3_200_2_6.txt,10,h2,14.0,14.0,0.0,0.0033,0.2906,0.2873
sigma-2,mglcs_3_200_2_6.txt,10,h3,14.0,14.0,0.0,0.0035,0.2737,0.2702
sigma-2,mglcs_3_200_2_6.txt,10,h4,14.0,14.0,0.0,0.0039,0.3491,0.3452
sigma-2,mglcs_3_200_2_6.txt,10,h5,14.0,14.0,0.0,0.0054,0.2809,0.27549999999999997
sigma-2,mglcs_3_200_2_6.txt,10,h6,14.0,14.0,0.0,0.0032,0.2815,0.2783
sigma-2,mglcs_3_200_2_6.txt,10,h7,14.0,14.0,0.0,0.0036,0.3086,0.305
sigma-2,mglcs_3_200_2_7.txt,10,h1,22.0,22.0,0.0,0.0046,0.3989,0.3943
sigma-2,mglcs_3_200_2_7.txt,10,h2,22.0,22.0,0.0,0.0049,0.3138,0.3089
sigma-2,mglcs_3_200_2_7.txt,10,h3,22.0,22.0,0.0,0.0051,0.4277,0.42260000000000003
sigma-2,mglcs_3_200_2_7.txt,10,h4,22.0,22.0,0.0,0.0056,0.4555,0.4499
sigma-2,mglcs_3_200_2_7.txt,10,h5,22.0,11.0,-11.0,0.0086,0.3841,0.3755
sigma-2,mglcs_3_200_2_7.txt,10,h6,22.0,21.0,-1.0,0.005,0.3236,0.3186
sigma-2,mglcs_3_200_2_7.txt,10,h7,22.0,11.0,-11.0,0.0051,0.3067,0.3016
sigma-2,mglcs_3_200_2_8.txt,10,h1,25.0,49.0,24.0,0.0104,1.0493,1.0389
sigma-2,mglcs_3_200_2_8.txt,10,h2,23.0,23.0,0.0,0.0091,0.8386,0.8295
sigma-2,mglcs_3_200_2_8.txt,10,h3,21.0,48.0,27.0,0.008,0.866,0.858
sigma-2,mglcs_3_200_2_8.txt,10,h4,25.0,47.0,22.0,0.0116,1.0582,1.0466
sigma-2,mglcs_3_200_2_8.txt,10,h5,27.0,27.0,0.0,0.0199,1.6592,1.6393
sigma-2,mglcs_3_200_2_8.txt,10,h6,47.0,50.0,3.0,0.016,0.9898,0.9738
sigma-2,mglcs_3_200_2_8.txt,10,h7,23.0,21.0,-2.0,0.0098,0.8723,0.8624999999999999
sigma-2,mglcs_3_200_2_9.txt,10,h1,3.0,3.0,0.0,0.0003,0.0392,0.0389
sigma-2,mglcs_3_200_2_9.txt,10,h2,3.0,1.0,-2.0,0.0004,0.0245,0.0241
sigma-2,mglcs_3_200_2_9.txt,10,h3,3.0,3.0,0.0,0.0005,0.0419,0.0414
sigma-2,mglcs_3_200_2_9.txt,10,h4,3.0,3.0,0.0,0.0005,0.0487,0.0482
sigma-2,mglcs_3_200_2_9.txt,10,h5,3.0,3.0,0.0,0.0008,0.06,0.059199999999999996
sigma-2,mglcs_3_200_2_9.txt,10,h6,3.0,3.0,0.0,0.0004,0.04,0.0396
sigma-2,mglcs_3_200_2_9.txt,10,h7,3.0,1.0,-2.0,0.0004,0.0219,0.0215
sigma-2,mglcs_3_50_2_0.txt,10,h1,2.0,2.0,0.0,0.0002,0.0133,0.013099999999999999
sigma-2,mglcs_3_50_2_0.txt,10,h2,2.0,2.0,0.0,0.0002,0.0122,0.012
sigma-2,mglcs_3_50_2_0.txt,10,h3,2.0,2.0,0.0,0.0002,0.0105,0.0103
sigma-2,mglcs_3_50_2_0.txt,10,h4,2.0,2.0,0.0,0.0002,0.0132,0.013
sigma-2,mglcs_3_50_2_0.txt,10,h5,2.0,2.0,0.0,0.0003,0.0258,0.0255
sigma-2,mglcs_3_50_2_0.txt,10,h6,2.0,2.0,0.0,0.0002,0.0104,0.010199999999999999
sigma-2,mglcs_3_50_2_0.txt,10,h7,2.0,2.0,0.0,0.0002,0.011,0.010799999999999999
sigma-2,mglcs_3_50_2_1.txt,10,h1,5.0,5.0,0.0,0.0004,0.0436,0.0432
sigma-2,mglcs_3_50_2_1.txt,10,h2,5.0,5.0,0.0,0.0004,0.0421,0.0417
sigma-2,mglcs_3_50_2_1.txt,10,h3,5.0,5.0,0.0,0.0005,0.0405,0.04
sigma-2,mglcs_3_50_2_1.txt,10,h4,5.0,5.0,0.0,0.0004,0.0472,0.0468
sigma-2,mglcs_3_50_2_1.txt,10,h5,5.0,5.0,0.0,0.0007,0.1094,0.10869999999999999
sigma-2,mglcs_3_50_2_1.txt,10,h6,5.0,5.0,0.0,0.0005,0.0579,0.0574
sigma-2,mglcs_3_50_2_1.txt,10,h7,5.0,5.0,0.0,0.0005,0.0542,0.0537
sigma-2,mglcs_3_50_2_2.txt,10,h1,31.0,34.0,3.0,0.0051,0.437,0.4319
sigma-2,mglcs_3_50_2_2.txt,10,h2,25.0,32.0,7.0,0.004,0.4493,0.4453
sigma-2,mglcs_3_50_2_2.txt,10,h3,32.0,34.0,2.0,0.0046,0.4497,0.4451
sigma-2,mglcs_3_50_2_2.txt,10,h4,31.0,34.0,3.0,0.0046,0.4479,0.4433
sigma-2,mglcs_3_50_2_2.txt,10,h5,32.0,33.0,1.0,0.0075,0.628,0.6205
sigma-2,mglcs_3_50_2_2.txt,10,h6,30.0,33.0,3.0,0.0028,0.2481,0.2453
sigma-2,mglcs_3_50_2_2.txt,10,h7,32.0,32.0,0.0,0.0033,0.3339,0.33059999999999995
sigma-2,mglcs_3_50_2_3.txt,10,h1,6.0,6.0,0.0,0.0002,0.0145,0.0143
sigma-2,mglcs_3_50_2_3.txt,10,h2,6.0,2.0,-4.0,0.0002,0.0118,0.0116
sigma-2,mglcs_3_50_2_3.txt,10,h3,6.0,6.0,0.0,0.0002,0.0176,0.017400000000000002
sigma-2,mglcs_3_50_2_3.txt,10,h4,6.0,6.0,0.0,0.0002,0.027,0.0268
sigma-2,mglcs_3_50_2_3.txt,10,h5,6.0,6.0,0.0,0.0003,0.0289,0.028599999999999997
sigma-2,mglcs_3_50_2_3.txt,10,h6,6.0,6.0,0.0,0.0002,0.0245,0.024300000000000002
sigma-2,mglcs_3_50_2_3.txt,10,h7,6.0,6.0,0.0,0.0003,0.0132,0.0129
sigma-2,mglcs_3_50_2_4.txt,10,h1,32.0,33.0,1.0,0.0038,0.2927,0.2889
sigma-2,mglcs_3_50_2_4.txt,10,h2,26.0,32.0,6.0,0.0026,0.2783,0.2757
sigma-2,mglcs_3_50_2_4.txt,10,h3,32.0,33.0,1.0,0.0026,0.227,0.22440000000000002
sigma-2,mglcs_3_50_2_4.txt,10,h4,17.0,33.0,16.0,0.0015,0.2558,0.2543
sigma-2,mglcs_3_50_2_4.txt,10,h5,26.0,30.0,4.0,0.0048,0.4988,0.494
sigma-2,mglcs_3_50_2_4.txt,10,h6,33.0,33.0,0.0,0.0026,0.2989,0.2963
sigma-2,mglcs_3_50_2_4.txt,10,h7,26.0,32.0,6.0,0.0037,0.3116,0.3079
sigma-2,mglcs_3_50_2_5.txt,10,h1,16.0,16.0,0.0,0.0014,0.1449,0.1435
sigma-2,mglcs_3_50_2_5.txt,10,h2,16.0,15.0,-1.0,0.0029,0.1885,0.1856
sigma-2,mglcs_3_50_2_5.txt,10,h3,16.0,16.0,0.0,0.0012,0.129,0.1278
sigma-2,mglcs_3_50_2_5.txt,10,h4,16.0,16.0,0.0,0.0014,0.175,0.17359999999999998
sigma-2,mglcs_3_50_2_5.txt,10,h5,16.0,16.0,0.0,0.0036,0.4608,0.4572
sigma-2,mglcs_3_50_2_5.txt,10,h6,16.0,16.0,0.0,0.0023,0.227,0.2247
sigma-2,mglcs_3_50_2_5.txt,10,h7,16.0,15.0,-1.0,0.0021,0.245,0.2429
sigma-2,mglcs_3_50_2_6.txt,10,h1,29.0,30.0,1.0,0.0037,0.3563,0.3526
sigma-2,mglcs_3_50_2_6.txt,10,h2,30.0,29.0,-1.0,0.0037,0.3092,0.3055
sigma-2,mglcs_3_50_2_6.txt,10,h3,29.0,30.0,1.0,0.0039,0.3298,0.32589999999999997
sigma-2,mglcs_3_50_2_6.txt,10,h4,28.0,30.0,2.0,0.004,0.4168,0.4128
sigma-2,mglcs_3_50_2_6.txt,10,h5,30.0,30.0,0.0,0.008,0.7746,0.7666
sigma-2,mglcs_3_50_2_6.txt,10,h6,30.0,30.0,0.0,0.0055,0.4294,0.4239
sigma-2,mglcs_3_50_2_6.txt,10,h7,17.0,30.0,13.0,0.0027,0.3077,0.305
sigma-2,mglcs_3_50_2_7.txt,10,h1,13.0,13.0,0.0,0.0012,0.1135,0.1123
sigma-2,mglcs_3_50_2_7.txt,10,h2,13.0,11.0,-2.0,0.0014,0.1609,0.15949999999999998
sigma-2,mglcs_3_50_2_7.txt,10,h3,13.0,13.0,0.0,0.0025,0.1771,0.1746
sigma-2,mglcs_3_50_2_7.txt,10,h4,13.0,13.0,0.0,0.0014,0.1242,0.1228
sigma-2,mglcs_3_50_2_7.txt,10,h5,13.0,13.0,0.0,0.0029,0.2551,0.2522
sigma-2,mglcs_3_50_2_7.txt,10,h6,13.0,13.0,0.0,0.0013,0.1254,0.12410000000000002
sigma-2,mglcs_3_50_2_7.txt,10,h7,13.0,13.0,0.0,0.0017,0.1756,0.1739
sigma-2,mglcs_3_50_2_8.txt,10,h1,19.0,24.0,5.0,0.0024,0.2656,0.2632
sigma-2,mglcs_3_50_2_8.txt,10,h2,22.0,22.0,0.0,0.0032,0.4214,0.4182
sigma-2,mglcs_3_50_2_8.txt,10,h3,22.0,23.0,1.0,0.0028,0.2912,0.2884
sigma-2,mglcs_3_50_2_8.txt,10,h4,23.0,24.0,1.0,0.0032,0.3631,0.3599
sigma-2,mglcs_3_50_2_8.txt,10,h5,24.0,24.0,0.0,0.0066,0.7195,0.7129
sigma-2,mglcs_3_50_2_8.txt,10,h6,24.0,24.0,0.0,0.0032,0.3417,0.3385
sigma-2,mglcs_3_50_2_8.txt,10,h7,23.0,22.0,-1.0,0.0034,0.3733,0.3699
sigma-2,mglcs_3_50_2_9.txt,10,h1,10.0,12.0,2.0,0.0019,0.183,0.18109999999999998
sigma-2,mglcs_3_50_2_9.txt,10,h2,10.0,11.0,1.0,0.0015,0.2049,0.2034
sigma-2,mglcs_3_50_2_9.txt,10,h3,10.0,12.0,2.0,0.0017,0.1952,0.1935
sigma-2,mglcs_3_50_2_9.txt,10,h4,10.0,12.0,2.0,0.0017,0.2227,0.221
sigma-2,mglcs_3_50_2_9.txt,10,h5,10.0,12.0,2.0,0.0048,0.404,0.3992
sigma-2,mglcs_3_50_2_9.txt,10,h6,12.0,12.0,0.0,0.002,0.2007,0.1987
sigma-2,mglcs_3_50_2_9.txt,10,h7,11.0,11.0,0.0,0.0019,0.2067,0.20479999999999998
sigma-2,mglcs_5_100_2_0.txt,10,h1,9.0,9.0,0.0,0.0011,0.1265,0.1254
sigma-2,mglcs_5_100_2_0.txt,10,h2,9.0,8.0,-1.0,0.0012,0.0708,0.0696
sigma-2,mglcs_5_100_2_0.txt,10,h3,9.0,9.0,0.0,0.0013,0.1408,0.1395
sigma-2,mglcs_5_100_2_0.txt,10,h4,9.0,9.0,0.0,0.0013,0.151,0.1497
sigma-2,mglcs_5_100_2_0.txt,10,h5,9.0,5.0,-4.0,0.0026,0.1165,0.1139
sigma-2,mglcs_5_100_2_0.txt,10,h6,9.0,9.0,0.0,0.0014,0.1228,0.12140000000000001
sigma-2,mglcs_5_100_2_0.txt,10,h7,9.0,9.0,0.0,0.0014,0.0816,0.08020000000000001
sigma-2,mglcs_5_100_2_1.txt,10,h1,9.0,9.0,0.0,0.0021,0.1707,0.1686
sigma-2,mglcs_5_100_2_1.txt,10,h2,9.0,9.0,0.0,0.0014,0.1899,0.1885
sigma-2,mglcs_5_100_2_1.txt,10,h3,9.0,9.0,0.0,0.0014,0.1392,0.13779999999999998
sigma-2,mglcs_5_100_2_1.txt,10,h4,9.0,9.0,0.0,0.0015,0.1604,0.15889999999999999
sigma-2,mglcs_5_100_2_1.txt,10,h5,9.0,9.0,0.0,0.0024,0.3782,0.37579999999999997
sigma-2,mglcs_5_100_2_1.txt,10,h6,9.0,9.0,0.0,0.0019,0.1719,0.16999999999999998
sigma-2,mglcs_5_100_2_1.txt,10,h7,9.0,6.0,-3.0,0.0013,0.2112,0.2099
sigma-2,mglcs_5_100_2_2.txt,10,h1,3.0,3.0,0.0,0.0003,0.0386,0.0383
sigma-2,mglcs_5_100_2_2.txt,10,h2,3.0,3.0,0.0,0.0005,0.0314,0.030899999999999997
sigma-2,mglcs_5_100_2_2.txt,10,h3,3.0,3.0,0.0,0.0003,0.04,0.0397
sigma-2,mglcs_5_100_2_2.txt,10,h4,3.0,3.0,0.0,0.0005,0.0392,0.0387
sigma-2,mglcs_5_100_2_2.txt,10,h5,3.0,3.0,0.0,0.0008,0.0738,0.07300000000000001
sigma-2,mglcs_5_100_2_2.txt,10,h6,3.0,3.0,0.0,0.0005,0.0406,0.0401
sigma-2,mglcs_5_100_2_2.txt,10,h7,3.0,3.0,0.0,0.0005,0.0373,0.0368
sigma-2,mglcs_5_100_2_3.txt,10,h1,3.0,3.0,0.0,0.0004,0.047,0.0466
sigma-2,mglcs_5_100_2_3.txt,10,h2,3.0,3.0,0.0,0.0005,0.0456,0.0451
sigma-2,mglcs_5_100_2_3.txt,10,h3,3.0,3.0,0.0,0.0005,0.0421,0.0416
sigma-2,mglcs_5_100_2_3.txt,10,h4,3.0,3.0,0.0,0.0005,0.0616,0.0611
sigma-2,mglcs_5_100_2_3.txt,10,h5,3.0,3.0,0.0,0.001,0.1199,0.1189
sigma-2,mglcs_5_100_2_3.txt,10,h6,3.0,3.0,0.0,0.0004,0.0509,0.0505
sigma-2,mglcs_5_100_2_3.txt,10,h7,3.0,3.0,0.0,0.0006,0.051,0.05039999999999999
sigma-2,mglcs_5_100_2_4.txt,10,h1,11.0,11.0,0.0,0.004,0.2907,0.2867
sigma-2,mglcs_5_100_2_4.txt,10,h2,11.0,10.0,-1.0,0.0026,0.3028,0.3002
sigma-2,mglcs_5_100_2_4.txt,10,h3,11.0,11.0,0.0,0.0023,0.2084,0.2061
sigma-2,mglcs_5_100_2_4.txt,10,h4,11.0,11.0,0.0,0.0022,0.2373,0.2351
sigma-2,mglcs_5_100_2_4.txt,10,h5,11.0,11.0,0.0,0.0034,0.5017,0.4983
sigma-2,mglcs_5_100_2_4.txt,10,h6,11.0,11.0,0.0,0.0018,0.2281,0.2263
sigma-2,mglcs_5_100_2_4.txt,10,h7,11.0,11.0,0.0,0.0017,0.2535,0.2518
sigma-2,mglcs_5_100_2_5.txt,10,h1,7.0,7.0,0.0,0.0007,0.0919,0.09119999999999999
sigma-2,mglcs_5_100_2_5.txt,10,h2,7.0,6.0,-1.0,0.0009,0.0747,0.0738
sigma-2,mglcs_5_100_2_5.txt,10,h3,7.0,7.0,0.0,0.0009,0.1015,0.10060000000000001
sigma-2,mglcs_5_100_2_5.txt,10,h4,7.0,7.0,0.0,0.001,0.1149,0.1139
sigma-2,mglcs_5_100_2_5.txt,10,h5,7.0,7.0,0.0,0.0014,0.1214,0.12
sigma-2,mglcs_5_100_2_5.txt,10,h6,7.0,7.0,0.0,0.0008,0.1096,0.10880000000000001
sigma-2,mglcs_5_100_2_5.txt,10,h7,7.0,6.0,-1.0,0.0008,0.0816,0.08080000000000001
sigma-2,mglcs_5_100_2_6.txt,10,h1,5.0,5.0,0.0,0.0003,0.0385,0.0382
sigma-2,mglcs_5_100_2_6.txt,10,h2,5.0,5.0,0.0,0.0005,0.0483,0.0478
sigma-2,mglcs_5_100_2_6.txt,10,h3,5.0,5.0,0.0,0.0004,0.0352,0.034800000000000005
sigma-2,mglcs_5_100_2_6.txt,10,h4,5.0,5.0,0.0,0.0004,0.0485,0.048100000000000004
sigma-2,mglcs_5_100_2_6.txt,10,h5,5.0,5.0,0.0,0.0006,0.0721,0.0715
sigma-2,mglcs_5_100_2_6.txt,10,h6,5.0,5.0,0.0,0.0005,0.0442,0.0437
sigma-2,mglcs_5_100_2_6.txt,10,h7,5.0,5.0,0.0,0.0004,0.0521,0.0517
sigma-2,mglcs_5_100_2_7.txt,10,h1,5.0,5.0,0.0,0.0008,0.0681,0.0673
sigma-2,mglcs_5_100_2_7.txt,10,h2,5.0,4.0,-1.0,0.0008,0.0437,0.0429
sigma-2,mglcs_5_100_2_7.txt,10,h3,5.0,5.0,0.0,0.0006,0.0763,0.0757
sigma-2,mglcs_5_100_2_7.txt,10,h4,5.0,5.0,0.0,0.0006,0.0907,0.0901
sigma-2,mglcs_5_100_2_7.txt,10,h5,5.0,4.0,-1.0,0.0009,0.067,0.0661
sigma-2,mglcs_5_100_2_7.txt,10,h6,5.0,5.0,0.0,0.0006,0.0798,0.07919999999999999
sigma-2,mglcs_5_100_2_7.txt,10,h7,5.0,4.0,-1.0,0.0008,0.0412,0.0404
sigma-2,mglcs_5_100_2_8.txt,10,h1,6.0,6.0,0.0,0.0006,0.0514,0.0508
sigma-2,mglcs_5_100_2_8.txt,10,h2,6.0,6.0,0.0,0.0004,0.0541,0.053700000000000005
sigma-2,mglcs_5_100_2_8.txt,10,h3,6.0,6.0,0.0,0.0006,0.0448,0.044199999999999996
sigma-2,mglcs_5_100_2_8.txt,10,h4,6.0,6.0,0.0,0.0006,0.0537,0.053099999999999994
sigma-2,mglcs_5_100_2_8.txt,10,h5,6.0,6.0,0.0,0.0007,0.0847,0.08399999999999999
sigma-2,mglcs_5_100_2_8.txt,10,h6,6.0,6.0,0.0,0.0006,0.0411,0.040499999999999994
sigma-2,mglcs_5_100_2_8.txt,10,h7,6.0,6.0,0.0,0.0004,0.0341,0.0337
sigma-2,mglcs_5_100_2_9.txt,10,h1,5.0,5.0,0.0,0.0003,0.0299,0.029599999999999998
sigma-2,mglcs_5_100_2_9.txt,10,h2,5.0,5.0,0.0,0.0003,0.0335,0.0332
sigma-2,mglcs_5_100_2_9.txt,10,h3,5.0,5.0,0.0,0.0003,0.0299,0.029599999999999998
sigma-2,mglcs_5_100_2_9.txt,10,h4,5.0,5.0,0.0,0.0004,0.0366,0.0362
sigma-2,mglcs_5_100_2_9.txt,10,h5,5.0,5.0,0.0,0.0005,0.0556,0.055099999999999996
sigma-2,mglcs_5_100_2_9.txt,10,h6,5.0,5.0,0.0,0.0004,0.0329,0.0325
sigma-2,mglcs_5_100_2_9.txt,10,h7,5.0,5.0,0.0,0.0004,0.0336,0.0332
sigma-2,mglcs_5_200_2_0.txt,10,h1,6.0,6.0,0.0,0.001,0.1289,0.12789999999999999
sigma-2,mglcs_5_200_2_0.txt,10,h2,6.0,6.0,0.0,0.0016,0.1514,0.14980000000000002
sigma-2,mglcs_5_200_2_0.txt,10,h3,6.0,6.0,0.0,0.0009,0.0962,0.0953
sigma-2,mglcs_5_200_2_0.txt,10,h4,6.0,6.0,0.0,0.001,0.1236,0.1226
sigma-2,mglcs_5_200_2_0.txt,10,h5,6.0,6.0,0.0,0.0018,0.2473,0.2455
sigma-2,mglcs_5_200_2_0.txt,10,h6,6.0,6.0,0.0,0.0012,0.1771,0.1759
sigma-2,mglcs_5_200_2_0.txt,10,h7,6.0,6.0,0.0,0.001,0.1519,0.1509
sigma-2,mglcs_5_200_2_1.txt,10,h1,1.0,1.0,0.0,0.0002,0.0199,0.019700000000000002
sigma-2,mglcs_5_200_2_1.txt,10,h2,1.0,1.0,0.0,0.0003,0.0255,0.025199999999999997
sigma-2,mglcs_5_200_2_1.txt,10,h3,1.0,1.0,0.0,0.0003,0.0215,0.021199999999999997
sigma-2,mglcs_5_200_2_1.txt,10,h4,1.0,1.0,0.0,0.0002,0.0225,0.0223
sigma-2,mglcs_5_200_2_1.txt,10,h5,1.0,1.0,0.0,0.0004,0.037,0.0366
sigma-2,mglcs_5_200_2_1.txt,10,h6,1.0,1.0,0.0,0.0003,0.0276,0.027299999999999998
sigma-2,mglcs_5_200_2_1.txt,10,h7,1.0,1.0,0.0,0.0003,0.0242,0.023899999999999998
sigma-2,mglcs_5_200_2_2.txt,10,h1,6.0,6.0,0.0,0.0006,0.0774,0.0768
sigma-2,mglcs_5_200_2_2.txt,10,h2,6.0,6.0,0.0,0.0006,0.0996,0.09899999999999999
sigma-2,mglcs_5_200_2_2.txt,10,h3,6.0,6.0,0.0,0.0011,0.07,0.0689
sigma-2,mglcs_5_200_2_2.txt,10,h4,6.0,6.0,0.0,0.0007,0.0843,0.0836
sigma-2,mglcs_5_200_2_2.txt,10,h5,6.0,6.0,0.0,0.0011,0.1434,0.1423
sigma-2,mglcs_5_200_2_2.txt,10,h6,6.0,6.0,0.0,0.0006,0.0754,0.07479999999999999
sigma-2,mglcs_5_200_2_2.txt,10,h7,6.0,6.0,0.0,0.0009,0.0959,0.095
sigma-2,mglcs_5_200_2_3.txt,10,h1,2.0,2.0,0.0,0.0004,0.0257,0.0253
sigma-2,mglcs_5_200_2_3.txt,10,h2,2.0,2.0,0.0,0.0003,0.0211,0.0208
sigma-2,mglcs_5_200_2_3.txt,10,h3,2.0,2.0,0.0,0.0003,0.0387,0.0384
sigma-2,mglcs_5_200_2_3.txt,10,h4,2.0,2.0,0.0,0.0004,0.0346,0.0342
sigma-2,mglcs_5_200_2_3.txt,10,h5,2.0,2.0,0.0,0.0007,0.0553,0.0546
sigma-2,mglcs_5_200_2_3.txt,10,h6,2.0,2.0,0.0,0.0003,0.0329,0.0326
sigma-2,mglcs_5_200_2_3.txt,10,h7,2.0,2.0,0.0,0.0004,0.0277,0.027299999999999998
sigma-2,mglcs_5_200_2_4.txt,10,h1,5.0,5.0,0.0,0.001,0.1396,0.1386
sigma-2,mglcs_5_200_2_4.txt,10,h2,5.0,5.0,0.0,0.0015,0.1705,0.169
sigma-2,mglcs_5_200_2_4.txt,10,h3,5.0,5.0,0.0,0.0011,0.1432,0.1421
sigma-2,mglcs_5_200_2_4.txt,10,h4,5.0,5.0,0.0,0.0011,0.1381,0.137
sigma-2,mglcs_5_200_2_4.txt,10,h5,5.0,5.0,0.0,0.0016,0.1885,0.1869
sigma-2,mglcs_5_200_2_4.txt,10,h6,5.0,5.0,0.0,0.001,0.164,0.163
sigma-2,mglcs_5_200_2_4.txt,10,h7,5.0,5.0,0.0,0.001,0.1781,0.1771
sigma-2,mglcs_5_200_2_5.txt,10,h1,7.0,7.0,0.0,0.0012,0.1443,0.1431
sigma-2,mglcs_5_200_2_5.txt,10,h2,7.0,7.0,0.0,0.0016,0.1748,0.17320000000000002
sigma-2,mglcs_5_200_2_5.txt,10,h3,7.0,7.0,0.0,0.0013,0.1667,0.1654
sigma-2,mglcs_5_200_2_5.txt,10,h4,7.0,7.0,0.0,0.0013,0.1609,0.1596
sigma-2,mglcs_5_200_2_5.txt,10,h5,7.0,7.0,0.0,0.0021,0.328,0.3259
sigma-2,mglcs_5_200_2_5.txt,10,h6,7.0,7.0,0.0,0.0012,0.1216,0.1204
sigma-2,mglcs_5_200_2_5.txt,10,h7,7.0,7.0,0.0,0.0026,0.1641,0.1615
sigma-2,mglcs_5_200_2_6.txt,10,h1,9.0,9.0,0.0,0.0008,0.1061,0.1053
sigma-2,mglcs_5_200_2_6.txt,10,h2,9.0,9.0,0.0,0.0009,0.0581,0.0572
sigma-2,mglcs_5_200_2_6.txt,10,h3,9.0,9.0,0.0,0.0011,0.1318,0.1307
sigma-2,mglcs_5_200_2_6.txt,10,h4,9.0,9.0,0.0,0.0016,0.1369,0.1353
sigma-2,mglcs_5_200_2_6.txt,10,h5,9.0,9.0,0.0,0.0022,0.2956,0.2934
sigma-2,mglcs_5_200_2_6.txt,10,h6,9.0,9.0,0.0,0.0008,0.1506,0.14980000000000002
sigma-2,mglcs_5_200_2_6.txt,10,h7,9.0,9.0,0.0,0.0016,0.0689,0.0673
sigma-2,mglcs_5_200_2_7.txt,10,h1,3.0,3.0,0.0,0.0004,0.0388,0.038400000000000004
sigma-2,mglcs_5_200_2_7.txt,10,h2,3.0,3.0,0.0,0.0004,0.0541,0.053700000000000005
sigma-2,mglcs_5_200_2_7.txt,10,h3,3.0,3.0,0.0,0.0005,0.0521,0.0516
sigma-2,mglcs_5_200_2_7.txt,10,h4,3.0,3.0,0.0,0.0004,0.0511,0.0507
sigma-2,mglcs_5_200_2_7.txt,10,h5,3.0,3.0,0.0,0.0007,0.0645,0.0638
sigma-2,mglcs_5_200_2_7.txt,10,h6,3.0,3.0,0.0,0.0009,0.0492,0.0483
sigma-2,mglcs_5_200_2_7.txt,10,h7,3.0,3.0,0.0,0.0006,0.0573,0.05669999999999999
sigma-2,mglcs_5_200_2_8.txt,10,h1,4.0,4.0,0.0,0.0004,0.0457,0.0453
