sigma,filename,beam_width,base_heuristic,length_normal,length_prob,delta_length,time_s_normal,time_s_prob,delta_time
sigma-2,mglcs_10_50_2_5.txt,10,h6,1.0,1.0,0.0,0.0002,0.0193,0.019100000000000002
sigma-2,mglcs_10_50_2_5.txt,10,h7,1.0,1.0,0.0,0.0003,0.0192,0.018899999999999997
sigma-2,mglcs_10_50_2_6.txt,10,h1,1.0,1.0,0.0,0.0002,0.0199,0.019700000000000002
sigma-2,mglcs_10_50_2_6.txt,10,h2,1.0,1.0,0.0,0.0003,0.0213,0.020999999999999998
sigma-2,mglcs_10_50_2_6.txt,10,h3,1.0,1.0,0.0,0.0003,0.0223,0.022
sigma-2,mglcs_10_50_2_6.txt,10,h4,1.0,1.0,0.0,0.0003,0.0184,0.018099999999999998
sigma-2,mglcs_10_50_2_6.txt,10,h5,1.0,1.0,0.0,0.0003,0.0345,0.0342
sigma-2,mglcs_10_50_2_6.txt,10,h6,1.0,1.0,0.0,0.0002,0.0213,0.0211
sigma-2,mglcs_10_50_2_6.txt,10,h7,1.0,1.0,0.0,0.0003,0.0232,0.022899999999999997
sigma-2,mglcs_10_50_2_7.txt,10,h1,2.0,2.0,0.0,0.0003,0.0284,0.0281
sigma-2,mglcs_10_50_2_7.txt,10,h2,2.0,2.0,0.0,0.0004,0.0249,0.024499999999999997
sigma-2,mglcs_10_50_2_7.txt,10,h3,2.0,2.0,0.0,0.0003,0.0295,0.029199999999999997
sigma-2,mglcs_10_50_2_7.txt,10,h4,2.0,2.0,0.0,0.0003,0.0352,0.0349
sigma-2,mglcs_10_50_2_7.txt,10,h5,2.0,2.0,0.0,0.0007,0.0388,0.0381
sigma-2,mglcs_10_50_2_7.txt,10,h6,2.0,2.0,0.0,0.0004,0.0264,0.026
sigma-2,mglcs_10_50_2_7.txt,10,h7,2.0,2.0,0.0,0.0003,0.0211,0.0208
sigma-2,mglcs_10_50_2_8.txt,10,h1,3.0,3.0,0.0,0.0004,0.0331,0.0327
sigma-2,mglcs_10_50_2_8.txt,10,h2,3.0,3.0,0.0,0.0003,0.0408,0.0405
sigma-2,mglcs_10_50_2_8.txt,10,h3,3.0,3.0,0.0,0.0003,0.0313,0.031
sigma-2,mglcs_10_50_2_8.txt,10,h4,3.0,3.0,0.0,0.0004,0.0413,0.040900000000000006
sigma-2,mglcs_10_50_2_8.txt,10,h5,3.0,3.0,0.0,0.0008,0.1285,0.1277
sigma-2,mglcs_10_50_2_8.txt,10,h6,3.0,3.0,0.0,0.0006,0.0474,0.046799999999999994
sigma-2,mglcs_10_50_2_8.txt,10,h7,3.0,3.0,0.0,0.0005,0.0454,0.0449
sigma-2,mglcs_10_50_2_9.txt,10,h1,1.0,1.0,0.0,0.0002,0.0203,0.0201
sigma-2,mglcs_10_50_2_9.txt,10,h2,1.0,1.0,0.0,0.0002,0.0188,0.018600000000000002
sigma-2,mglcs_10_50_2_9.txt,10,h3,1.0,1.0,0.0,0.0002,0.0203,0.0201
sigma-2,mglcs_10_50_2_9.txt,10,h4,1.0,1.0,0.0,0.0003,0.0224,0.022099999999999998
sigma-2,mglcs_10_50_2_9.txt,10,h5,1.0,1.0,0.0,0.0005,0.0322,0.0317
sigma-2,mglcs_10_50_2_9.txt,10,h6,1.0,1.0,0.0,0.0002,0.0201,0.0199
sigma-2,mglcs_10_50_2_9.txt,10,h7,1.0,1.0,0.0,0.0003,0.0186,0.018299999999999997
sigma-2,mglcs_2_100_2_0.txt,10,h1,64.0,70.0,6.0,0.0137,1.1217,1.1079999999999999
sigma-2,mglcs_2_100_2_0.txt,10,h2,66.0,70.0,4.0,0.0147,1.4268,1.4121000000000001
sigma-2,mglcs_2_100_2_0.txt,10,h3,63.0,69.0,6.0,0.0125,1.0695,1.057
sigma-2,mglcs_2_100_2_0.txt,10,h4,58.0,70.0,12.0,0.0104,1.2292,1.2188
sigma-2,mglcs_2_100_2_0.txt,10,h5,71.0,71.0,0.0,0.0272,2.2506,2.2234
sigma-2,mglcs_2_100_2_0.txt,10,h6,70.0,71.0,1.0,0.0146,1.2824,1.2678
sigma-2,mglcs_2_100_2_0.txt,10,h7,69.0,71.0,2.0,0.0143,1.4821,1.4678
sigma-2,mglcs_2_100_2_1.txt,10,h1,17.0,17.0,0.0,0.0013,0.115,0.11370000000000001
sigma-2,mglcs_2_100_2_1.txt,10,h2,17.0,14.0,-3.0,0.0014,0.0754,0.074
sigma-2,mglcs_2_100_2_1.txt,10,h3,17.0,17.0,0.0,0.0014,0.1225,0.1211
sigma-2,mglcs_2_100_2_1.txt,10,h4,17.0,17.0,0.0,0.0014,0.089,0.0876
sigma-2,mglcs_2_100_2_1.txt,10,h5,17.0,16.0,-1.0,0.0026,0.2106,0.20800000000000002
sigma-2,mglcs_2_100_2_1.txt,10,h6,17.0,17.0,0.0,0.0012,0.0727,0.0715
sigma-2,mglcs_2_100_2_1.txt,10,h7,17.0,14.0,-3.0,0.0014,0.0623,0.0609
sigma-2,mglcs_2_100_2_2.txt,10,h1,66.0,69.0,3.0,0.0083,0.5016,0.49330000000000007
sigma-2,mglcs_2_100_2_2.txt,10,h2,42.0,5.0,-37.0,0.0048,0.0349,0.030100000000000002
sigma-2,mglcs_2_100_2_2.txt,10,h3,67.0,69.0,2.0,0.0079,0.7997,0.7918
sigma-2,mglcs_2_100_2_2.txt,10,h4,64.0,69.0,5.0,0.0099,0.3136,0.30369999999999997
sigma-2,mglcs_2_100_2_2.txt,10,h5,42.0,68.0,26.0,0.0089,0.6163,0.6073999999999999
sigma-2,mglcs_2_100_2_2.txt,10,h6,70.0,70.0,0.0,0.0085,0.576,0.5675
sigma-2,mglcs_2_100_2_2.txt,10,h7,70.0,41.0,-29.0,0.0086,0.0495,0.040900000000000006
sigma-2,mglcs_2_100_2_3.txt,10,h1,72.0,75.0,3.0,0.0123,0.7958,0.7835
sigma-2,mglcs_2_100_2_3.txt,10,h2,35.0,76.0,41.0,0.0059,0.2665,0.2606
sigma-2,mglcs_2_100_2_3.txt,10,h3,30.0,72.0,42.0,0.0051,0.4229,0.4178
sigma-2,mglcs_2_100_2_3.txt,10,h4,72.0,74.0,2.0,0.0131,0.8393,0.8262
sigma-2,mglcs_2_100_2_3.txt,10,h5,35.0,78.0,43.0,0.0111,0.6753,0.6642
sigma-2,mglcs_2_100_2_3.txt,10,h6,76.0,76.0,0.0,0.0131,0.8821,0.869
