m,n,sigma,index,heuristic,beam_width,length
10,200,4,8,h5,500,4
10,200,4,8,h8,500,4
10,200,4,9,h2,500,4
10,200,4,9,h5,500,4
10,200,4,9,h8,500,4
10,50,4,0,h2,500,5
10,50,4,0,h5,500,5
10,50,4,0,h8,500,5
10,50,4,1,h2,500,2
10,50,4,1,h5,500,2
10,50,4,1,h8,500,2
10,50,4,2,h2,500,4
10,50,4,2,h5,500,4
10,50,4,2,h8,500,4
10,50,4,3,h2,500,3
10,50,4,3,h5,500,3
10,50,4,3,h8,500,3
10,50,4,4,h2,500,3
10,50,4,4,h5,500,3
10,50,4,4,h8,500,2
10,50,4,5,h2,500,2
10,50,4,5,h5,500,2
10,50,4,5,h8,500,2
10,50,4,6,h2,500,2
10,50,4,6,h5,500,2
10,50,4,6,h8,500,2
10,50,4,7,h2,500,2
10,50,4,7,h5,500,2
10,50,4,7,h8,500,2
10,50,4,8,h2,500,2
10,50,4,8,h5,500,2
10,50,4,8,h8,500,2
10,50,4,9,h2,500,4
10,50,4,9,h5,500,4
10,50,4,9,h8,500,4
2,100,4,0,h2,500,62
2,100,4,0,h5,500,62
2,100,4,0,h8,500,40
2,100,4,1,h2,500,61
2,100,4,1,h5,500,60
2,100,4,1,h8,500,44
2,100,4,2,h2,500,66
2,100,4,2,h5,500,64
2,100,4,2,h8,500,43
2,100,4,3,h2,500,61
2,100,4,3,h5,500,61
2,100,4,3,h8,500,43
2,100,4,4,h2,500,61
2,100,4,4,h5,500,62
2,100,4,4,h8,500,42
2,100,4,5,h2,500,60
2,100,4,5,h5,500,60
2,100,4,5,h8,500,37
2,100,4,6,h2,500,60
2,100,4,6,h5,500,60
2,100,4,6,h8,500,42
2,100,4,7,h2,500,63
2,100,4,7,h5,500,63
2,100,4,7,h8,500,41
2,100,4,8,h2,500,59
2,100,4,8,h5,500,62
2,100,4,8,h8,500,44
2,100,4,9,h2,500,61
2,100,4,9,h5,500,62
2,100,4,9,h8,500,49
2,200,4,0,h2,500,117
2,200,4,0,h5,500,114
2,200,4,0,h8,500,101
2,200,4,1,h2,500,120
2,200,4,1,h5,500,123
2,200,4,1,h8,500,91
2,200,4,2,h2,500,121
2,200,4,2,h5,500,122
2,200,4,2,h8,500,101
2,200,4,3,h2,500,121
2,200,4,3,h5,500,122
2,200,4,3,h8,500,101
2,200,4,4,h2,500,124
2,200,4,4,h5,500,128
2,200,4,4,h8,500,93
2,200,4,5,h2,500,51
2,200,4,5,h5,500,121
2,200,4,5,h8,500,93
2,200,4,6,h2,500,118
2,200,4,6,h5,500,126
2,200,4,6,h8,500,106
2,200,4,7,h2,500,121
2,200,4,7,h5,500,120
2,200,4,7,h8,500,94
2,200,4,8,h2,500,115
2,200,4,8,h5,500,129
2,200,4,8,h8,500,90
2,200,4,9,h2,500,76
2,200,4,9,h5,500,104
2,200,4,9,h8,500,101
2,50,4,0,h2,500,29
2,50,4,0,h5,500,29
2,50,4,0,h8,500,21
2,50,4,1,h2,500,31
2,50,4,1,h5,500,31
2,50,4,1,h8,500,21
2,50,4,2,h2,500,31
2,50,4,2,h5,500,31
2,50,4,2,h8,500,22
2,50,4,3,h2,500,30
2,50,4,3,h5,500,30
2,50,4,3,h8,500,23
2,50,4,4,h2,500,32
2,50,4,4,h5,500,32
2,50,4,4,h8,500,25
2,50,4,5,h2,500,30
2,50,4,5,h5,500,30
2,50,4,5,h8,500,24
2,50,4,6,h2,500,30
2,50,4,6,h5,500,30
2,50,4,6,h8,500,27
2,50,4,7,h2,500,30
2,50,4,7,h5,500,30
2,50,4,7,h8,500,30
2,50,4,8,h2,500,30
2,50,4,8,h5,500,30
2,50,4,8,h8,500,26
2,50,4,9,h2,500,28
2,50,4,9,h5,500,28
2,50,4,9,h8,500,28
3,100,4,0,h2,500,19
3,100,4,0,h5,500,19
3,100,4,0,h8,500,19
3,100,4,1,h2,500,44
3,100,4,1,h5,500,44
3,100,4,1,h8,500,40
3,100,4,2,h2,500,48
3,100,4,2,h5,500,48
3,100,4,2,h8,500,38
3,100,4,3,h2,500,27
3,100,4,3,h5,500,27
3,100,4,3,h8,500,26
3,100,4,4,h2,500,43
3,100,4,4,h5,500,43
3,100,4,4,h8,500,38
3,100,4,5,h2,500,50
3,100,4,5,h5,500,50
3,100,4,5,h8,500,44
3,100,4,6,h2,500,46
3,100,4,6,h5,500,47
3,100,4,6,h8,500,32
3,100,4,7,h2,500,24
3,100,4,7,h5,500,24
3,100,4,7,h8,500,24
3,100,4,8,h2,500,30
3,100,4,8,h5,500,44
3,100,4,8,h8,500,42
3,100,4,9,h2,500,29
3,100,4,9,h5,500,29
3,100,4,9,h8,500,40
3,200,4,0,h2,500,100
3,200,4,0,h5,500,85
3,200,4,0,h8,500,80
3,200,4,1,h2,500,95
3,200,4,1,h5,500,100
3,200,4,1,h8,500,81
3,200,4,2,h2,500,94
3,200,4,2,h5,500,49
3,200,4,2,h8,500,90
3,200,4,3,h2,500,61
3,200,4,3,h5,500,91
3,200,4,3,h8,500,42
3,200,4,4,h2,500,94
3,200,4,4,h5,500,98
3,200,4,4,h8,500,47
3,200,4,5,h2,500,96
3,200,4,5,h5,500,96
3,200,4,5,h8,500,47
3,200,4,6,h2,500,38
3,200,4,6,h5,500,55
3,200,4,6,h8,500,51
3,200,4,7,h2,500,73
3,200,4,7,h5,500,101
3,200,4,7,h8,500,85
3,200,4,8,h2,500,97
3,200,4,8,h5,500,93
3,200,4,8,h8,500,82
3,200,4,9,h2,500,63
3,200,4,9,h5,500,65
3,200,4,9,h8,500,54
3,50,4,0,h2,500,23
3,50,4,0,h5,500,23
3,50,4,0,h8,500,23
3,50,4,1,h2,500,24
3,50,4,1,h5,500,24
3,50,4,1,h8,500,18
3,50,4,2,h2,500,12
3,50,4,2,h5,500,12
3,50,4,2,h8,500,12
3,50,4,3,h2,500,23
3,50,4,3,h5,500,23
3,50,4,3,h8,500,23
3,50,4,4,h2,500,22
3,50,4,4,h5,500,22
3,50,4,4,h8,500,20
3,50,4,5,h2,500,20
3,50,4,5,h5,500,20
3,50,4,5,h8,500,20
3,50,4,6,h2,500,25
3,50,4,6,h5,500,25
3,50,4,6,h8,500,20
3,50,4,7,h2,500,21
3,50,4,7,h5,500,21
3,50,4,7,h8,500,21
3,50,4,8,h2,500,24
3,50,4,8,h5,500,24
3,50,4,8,h8,500,22
3,50,4,9,h2,500,23
3,50,4,9,h5,500,23
3,50,4,9,h8,500,23
5,100,4,0,h2,500,13
5,100,4,0,h5,500,13
5,100,4,0,h8,500,13
5,100,4,1,h2,500,8
5,100,4,1,h5,500,8
5,100,4,1,h8,500,8
5,100,4,2,h2,500,8
5,100,4,2,h5,500,4
5,100,4,2,h8,500,8
5,100,4,3,h2,500,9
5,100,4,3,h5,500,9
5,100,4,3,h8,500,9
5,100,4,4,h2,500,9
5,100,4,4,h5,500,9
5,100,4,4,h8,500,9
5,100,4,5,h2,500,12
5,100,4,5,h5,500,12
5,100,4,5,h8,500,12
5,100,4,6,h2,500,16
5,100,4,6,h5,500,16
5,100,4,6,h8,500,16
5,100,4,7,h2,500,18
5,100,4,7,h5,500,18
5,100,4,7,h8,500,18
5,100,4,8,h2,500,19
5,100,4,8,h5,500,19
5,100,4,8,h8,500,19
5,100,4,9,h2,500,13
5,100,4,9,h5,500,13
5,100,4,9,h8,500,13
5,200,4,0,h2,500,22
5,200,4,0,h5,500,21
5,200,4,0,h8,500,21
5,200,4,1,h2,500,15
5,200,4,1,h5,500,10
5,200,4,1,h8,500,9
5,200,4,2,h2,500,21
5,200,4,2,h5,500,21
5,200,4,2,h8,500,21
5,200,4,3,h2,500,17
5,200,4,3,h5,500,17
5,200,4,3,h8,500,17
5,200,4,4,h2,500,20
5,200,4,4,h5,500,20
5,200,4,4,h8,500,20
5,200,4,5,h2,500,15
5,200,4,5,h5,500,15
5,200,4,5,h8,500,15
5,200,4,6,h2,500,16
5,200,4,6,h5,500,14
5,200,4,6,h8,500,16
5,200,4,7,h2,500,18
5,200,4,7,h5,500,18
5,200,4,7,h8,500,12
5,200,4,8,h2,500,9
5,200,4,8,h5,500,9
5,200,4,8,h8,500,9
5,200,4,9,h2,500,16
5,200,4,9,h5,500,13
5,200,4,9,h8,500,12
5,50,4,0,h2,500,11
5,50,4,0,h5,500,11
5,50,4,0,h8,500,11
5,50,4,1,h2,500,15
5,50,4,1,h5,500,15
5,50,4,1,h8,500,15
5,50,4,2,h2,500,10
5,50,4,2,h5,500,10
5,50,4,2,h8,500,10
5,50,4,3,h2,500,8
5,50,4,3,h5,500,8
5,50,4,3,h8,500,8
5,50,4,4,h2,500,17
5,50,4,4,h5,500,17
5,50,4,4,h8,500,17
5,50,4,5,h2,500,10
5,50,4,5,h5,500,10
5,50,4,5,h8,500,10
5,50,4,6,h2,500,10
5,50,4,6,h5,500,10
5,50,4,6,h8,500,5
5,50,4,7,h2,500,5
5,50,4,7,h5,500,5
5,50,4,7,h8,500,5
5,50,4,8,h2,500,7
5,50,4,8,h5,500,7
5,50,4,8,h8,500,7
5,50,4,9,h2,500,9
5,50,4,9,h5,500,9
5,50,4,9,h8,500,9
2,100,2,0,dp2,0,80
2,100,2,1,dp2,0,76
2,100,2,2,dp2,0,79
2,100,2,3,dp2,0,80
2,100,2,4,dp2,0,76
2,100,2,5,dp2,0,78
2,100,2,6,dp2,0,77
2,100,2,7,dp2,0,75
2,100,2,8,dp2,0,76
2,100,2,9,dp2,0,77
2,100,4,0,dp2,0,62
2,100,4,1,dp2,0,62
2,100,4,2,dp2,0,66
2,100,4,3,dp2,0,61
2,100,4,4,dp2,0,63
2,100,4,5,dp2,0,62
2,100,4,6,dp2,0,60
2,100,4,7,dp2,0,63
2,100,4,8,dp2,0,62
2,100,4,9,dp2,0,62
2,200,2,0,dp2,0,154
2,200,2,1,dp2,0,157
2,200,2,2,dp2,0,155
2,200,2,3,dp2,0,158
2,200,2,4,dp2,0,161
2,200,2,5,dp2,0,156
2,200,2,6,dp2,0,154
2,200,2,7,dp2,0,161
2,200,2,8,dp2,0,152
2,200,2,9,dp2,0,156
2,200,4,0,dp2,0,127
2,200,4,1,dp2,0,124
2,200,4,2,dp2,0,128
2,200,4,3,dp2,0,125
2,200,4,4,dp2,0,132
2,200,4,5,dp2,0,125
2,200,4,6,dp2,0,128
2,200,4,7,dp2,0,128
2,200,4,8,dp2,0,129
2,200,4,9,dp2,0,126
2,50,2,0,dp2,0,36
2,50,2,1,dp2,0,37
2,50,2,2,dp2,0,39
2,50,2,3,dp2,0,38
2,50,2,4,dp2,0,38
2,50,2,5,dp2,0,38
2,50,2,6,dp2,0,40
2,50,2,7,dp2,0,39
2,50,2,8,dp2,0,38
2,50,2,9,dp2,0,38
2,50,4,0,dp2,0,29
2,50,4,1,dp2,0,31
2,50,4,2,dp2,0,31
2,50,4,3,dp2,0,30
2,50,4,4,dp2,0,32
2,50,4,5,dp2,0,31
2,50,4,6,dp2,0,30
2,50,4,7,dp2,0,31
2,50,4,8,dp2,0,30
2,50,4,9,dp2,0,28
