m,n,sigma,index,heuristic,beam_width,length
5,50,2,2,h8,10,7
5,50,2,3,h2,10,5
5,50,2,3,h5,10,9
5,50,2,3,h8,10,5
5,50,2,4,h2,10,14
5,50,2,4,h5,10,14
5,50,2,4,h8,10,14
5,50,2,5,h2,10,6
5,50,2,5,h5,10,6
5,50,2,5,h8,10,6
5,50,2,6,h2,10,9
5,50,2,6,h5,10,8
5,50,2,6,h8,10,7
5,50,2,7,h2,10,7
5,50,2,7,h5,10,7
5,50,2,7,h8,10,7
5,50,2,8,h2,10,9
5,50,2,8,h5,10,9
5,50,2,8,h8,10,9
5,50,2,9,h2,10,11
5,50,2,9,h5,10,11
5,50,2,9,h8,10,11
10,100,4,0,h2,10,3
10,100,4,0,h5,10,3
10,100,4,0,h8,10,3
10,100,4,1,h2,10,4
10,100,4,1,h5,10,4
10,100,4,1,h8,10,4
10,100,4,2,h2,10,3
10,100,4,2,h5,10,3
10,100,4,2,h8,10,3
10,100,4,3,h2,10,4
10,100,4,3,h5,10,4
10,100,4,3,h8,10,3
10,100,4,4,h2,10,3
10,100,4,4,h5,10,3
10,100,4,4,h8,10,4
10,100,4,5,h2,10,4
10,100,4,5,h5,10,4
10,100,4,5,h8,10,4
10,100,4,6,h2,10,5
10,100,4,6,h5,10,5
10,100,4,6,h8,10,5
10,100,4,7,h2,10,4
10,100,4,7,h5,10,3
10,100,4,7,h8,10,5
10,100,4,8,h2,10,3
10,100,4,8,h5,10,3
10,100,4,8,h8,10,3
10,100,4,9,h2,10,3
10,100,4,9,h5,10,3
10,100,4,9,h8,10,3
10,200,4,0,h2,10,6
10,200,4,0,h5,10,6
10,200,4,0,h8,10,3
10,200,4,1,h2,10,4
10,200,4,1,h5,10,3
10,200,4,1,h8,10,3
10,200,4,2,h2,10,3
10,200,4,2,h5,10,3
10,200,4,2,h8,10,3
10,200,4,3,h2,10,3
10,200,4,3,h5,10,4
10,200,4,3,h8,10,3
10,200,4,4,h2,10,3
10,200,4,4,h5,10,3
10,200,4,4,h8,10,3
10,200,4,5,h2,10,4
10,200,4,5,h5,10,4
10,200,4,5,h8,10,4
10,200,4,6,h2,10,6
10,200,4,6,h5,10,3
10,200,4,6,h8,10,3
10,200,4,7,h2,10,3
10,200,4,7,h5,10,3
10,200,4,7,h8,10,3
10,200,4,8,h2,10,4
10,200,4,8,h5,10,4
10,200,4,8,h8,10,4
10,200,4,9,h2,10,4
10,200,4,9,h5,10,4
10,200,4,9,h8,10,4
10,50,4,0,h2,10,5
10,50,4,0,h5,10,5
10,50,4,0,h8,10,5
10,50,4,1,h2,10,2
10,50,4,1,h5,10,2
10,50,4,1,h8,10,2
10,50,4,2,h2,10,4
10,50,4,2,h5,10,4
10,50,4,2,h8,10,4
10,50,4,3,h2,10,3
10,50,4,3,h5,10,3
10,50,4,3,h8,10,3
10,50,4,4,h2,10,3
10,50,4,4,h5,10,3
10,50,4,4,h8,10,2
10,50,4,5,h2,10,2
10,50,4,5,h5,10,2
10,50,4,5,h8,10,2
10,50,4,6,h2,10,2
10,50,4,6,h5,10,2
10,50,4,6,h8,10,2
10,50,4,7,h2,10,2
10,50,4,7,h5,10,2
10,50,4,7,h8,10,2
10,50,4,8,h2,10,2
10,50,4,8,h5,10,2
10,50,4,8,h8,10,2
10,50,4,9,h2,10,4
10,50,4,9,h5,10,4
10,50,4,9,h8,10,4
