sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_200_2_8.txt,500,h4,5,0.0289,True
sigma-2,mglcs_10_200_2_8.txt,500,h5,5,0.0363,True
sigma-2,mglcs_10_200_2_8.txt,500,h6,5,0.0267,True
sigma-2,mglcs_10_200_2_8.txt,500,h7,7,0.0258,True
sigma-2,mglcs_10_200_2_8.txt,500,h8,7,0.2413,True
sigma-2,mglcs_10_200_2_9.txt,500,h1,4,0.0271,True
sigma-2,mglcs_10_200_2_9.txt,500,h2,6,0.0266,True
sigma-2,mglcs_10_200_2_9.txt,500,h3,4,0.0288,True
sigma-2,mglcs_10_200_2_9.txt,500,h4,4,0.0275,True
sigma-2,mglcs_10_200_2_9.txt,500,h5,4,0.0390,True
sigma-2,mglcs_10_200_2_9.txt,500,h6,4,0.0296,True
sigma-2,mglcs_10_200_2_9.txt,500,h7,6,0.0302,True
sigma-2,mglcs_10_200_2_9.txt,500,h8,4,0.3230,True
sigma-2,mglcs_10_50_2_0.txt,500,h1,4,0.0046,True
sigma-2,mglcs_10_50_2_0.txt,500,h2,4,0.0021,True
sigma-2,mglcs_10_50_2_0.txt,500,h3,4,0.0032,True
sigma-2,mglcs_10_50_2_0.txt,500,h4,4,0.0031,True
sigma-2,mglcs_10_50_2_0.txt,500,h5,4,0.0067,True
sigma-2,mglcs_10_50_2_0.txt,500,h6,4,0.0027,True
sigma-2,mglcs_10_50_2_0.txt,500,h7,4,0.0023,True
sigma-2,mglcs_10_50_2_0.txt,500,h8,4,0.0098,True
sigma-2,mglcs_10_50_2_1.txt,500,h1,3,0.0043,True
sigma-2,mglcs_10_50_2_1.txt,500,h2,3,0.0052,True
sigma-2,mglcs_10_50_2_1.txt,500,h3,3,0.0022,True
sigma-2,mglcs_10_50_2_1.txt,500,h4,3,0.0023,True
sigma-2,mglcs_10_50_2_1.txt,500,h5,3,0.0052,True
sigma-2,mglcs_10_50_2_1.txt,500,h6,3,0.0042,True
sigma-2,mglcs_10_50_2_1.txt,500,h7,3,0.0030,True
sigma-2,mglcs_10_50_2_1.txt,500,h8,3,0.0100,True
sigma-2,mglcs_10_50_2_2.txt,500,h1,3,0.0032,True
sigma-2,mglcs_10_50_2_2.txt,500,h2,3,0.0023,True
sigma-2,mglcs_10_50_2_2.txt,500,h3,3,0.0020,True
sigma-2,mglcs_10_50_2_2.txt,500,h4,3,0.0022,True
sigma-2,mglcs_10_50_2_2.txt,500,h5,3,0.0054,True
sigma-2,mglcs_10_50_2_2.txt,500,h6,3,0.0026,True
sigma-2,mglcs_10_50_2_2.txt,500,h7,3,0.0021,True
sigma-2,mglcs_10_50_2_2.txt,500,h8,3,0.0064,True
sigma-2,mglcs_10_50_2_3.txt,500,h1,6,0.0027,True
sigma-2,mglcs_10_50_2_3.txt,500,h2,6,0.0028,True
sigma-2,mglcs_10_50_2_3.txt,500,h3,6,0.0028,True
sigma-2,mglcs_10_50_2_3.txt,500,h4,6,0.0030,True
sigma-2,mglcs_10_50_2_3.txt,500,h5,6,0.0044,True
sigma-2,mglcs_10_50_2_3.txt,500,h6,6,0.0028,True
sigma-2,mglcs_10_50_2_3.txt,500,h7,6,0.0030,True
sigma-2,mglcs_10_50_2_3.txt,500,h8,6,0.0089,True
sigma-2,mglcs_10_50_2_4.txt,500,h1,3,0.0022,True
sigma-2,mglcs_10_50_2_4.txt,500,h2,3,0.0024,True
sigma-2,mglcs_10_50_2_4.txt,500,h3,3,0.0024,True
sigma-2,mglcs_10_50_2_4.txt,500,h4,3,0.0025,True
sigma-2,mglcs_10_50_2_4.txt,500,h5,3,0.0033,True
sigma-2,mglcs_10_50_2_4.txt,500,h6,3,0.0031,True
sigma-2,mglcs_10_50_2_4.txt,500,h7,3,0.0024,True
sigma-2,mglcs_10_50_2_4.txt,500,h8,3,0.0095,True
sigma-2,mglcs_10_50_2_5.txt,500,h1,4,0.0022,True
sigma-2,mglcs_10_50_2_5.txt,500,h2,5,0.0022,True
sigma-2,mglcs_10_50_2_5.txt,500,h3,4,0.0023,True
sigma-2,mglcs_10_50_2_5.txt,500,h4,4,0.0034,True
sigma-2,mglcs_10_50_2_5.txt,500,h5,4,0.0046,True
sigma-2,mglcs_10_50_2_5.txt,500,h6,4,0.0027,True
sigma-2,mglcs_10_50_2_5.txt,500,h7,5,0.0027,True
sigma-2,mglcs_10_50_2_5.txt,500,h8,5,0.0085,True
sigma-2,mglcs_10_50_2_6.txt,500,h1,4,0.0032,True
sigma-2,mglcs_10_50_2_6.txt,500,h2,4,0.0036,True
sigma-2,mglcs_10_50_2_6.txt,500,h3,4,0.0021,True
sigma-2,mglcs_10_50_2_6.txt,500,h4,4,0.0022,True
sigma-2,mglcs_10_50_2_6.txt,500,h5,4,0.0038,True
sigma-2,mglcs_10_50_2_6.txt,500,h6,4,0.0037,True
sigma-2,mglcs_10_50_2_6.txt,500,h7,4,0.0032,True
sigma-2,mglcs_10_50_2_6.txt,500,h8,4,0.0066,True
sigma-2,mglcs_10_50_2_7.txt,500,h1,3,0.0022,True
sigma-2,mglcs_10_50_2_7.txt,500,h2,3,0.0022,True
sigma-2,mglcs_10_50_2_7.txt,500,h3,3,0.0034,True
sigma-2,mglcs_10_50_2_7.txt,500,h4,3,0.0022,True
sigma-2,mglcs_10_50_2_7.txt,500,h5,3,0.0030,True
sigma-2,mglcs_10_50_2_7.txt,500,h6,3,0.0027,True
sigma-2,mglcs_10_50_2_7.txt,500,h7,3,0.0025,True
sigma-2,mglcs_10_50_2_7.txt,500,h8,3,0.0095,True
sigma-2,mglcs_10_50_2_8.txt,500,h1,3,0.0030,True
