sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_50_2_6.txt,10,h3,4,0.003,True
sigma-2,mglcs_10_50_2_6.txt,10,h4,4,0.001,True
sigma-2,mglcs_10_50_2_6.txt,10,h5,4,0.0035,True
sigma-2,mglcs_10_50_2_6.txt,10,h6,4,0.002,True
sigma-2,mglcs_10_50_2_6.txt,10,h7,4,0.002,True
sigma-2,mglcs_10_50_2_6.txt,10,h8,4,0.004,True
sigma-2,mglcs_10_50_2_7.txt,10,h1,3,0.002,True
sigma-2,mglcs_10_50_2_7.txt,10,h2,3,0.001,True
sigma-2,mglcs_10_50_2_7.txt,10,h3,3,0.001,True
sigma-2,mglcs_10_50_2_7.txt,10,h4,3,0.002,True
sigma-2,mglcs_10_50_2_7.txt,10,h5,3,0.003,True
sigma-2,mglcs_10_50_2_7.txt,10,h6,3,0.001,True
sigma-2,mglcs_10_50_2_7.txt,10,h7,3,0.0025,True
sigma-2,mglcs_10_50_2_7.txt,10,h8,3,0.005,True
sigma-2,mglcs_10_50_2_8.txt,10,h1,3,0.002,True
sigma-2,mglcs_10_50_2_8.txt,10,h2,3,0.002,True
sigma-2,mglcs_10_50_2_8.txt,10,h3,3,0.002,True
sigma-2,mglcs_10_50_2_8.txt,10,h4,3,0.0015,True
sigma-2,mglcs_10_50_2_8.txt,10,h5,3,0.003,True
sigma-2,mglcs_10_50_2_8.txt,10,h6,3,0.002,True
sigma-2,mglcs_10_50_2_8.txt,10,h7,3,0.002,True
sigma-2,mglcs_10_50_2_8.txt,10,h8,3,0.0055,True
sigma-2,mglcs_10_50_2_9.txt,10,h1,5,0.0025,True
sigma-2,mglcs_10_50_2_9.txt,10,h2,5,0.002,True
sigma-2,mglcs_10_50_2_9.txt,10,h3,5,0.002,True
sigma-2,mglcs_10_50_2_9.txt,10,h4,5,0.002,True
sigma-2,mglcs_10_50_2_9.txt,10,h5,5,0.002,True
sigma-2,mglcs_10_50_2_9.txt,10,h6,5,0.0021,True
sigma-2,mglcs_10_50_2_9.txt,10,h7,5,0.002,True
sigma-2,mglcs_10_50_2_9.txt,10,h8,5,0.004,True
sigma-2,mglcs_2_100_2_0.txt,10,h1,64,0.007,True
sigma-2,mglcs_2_100_2_0.txt,10,h2,66,0.007,True
sigma-2,mglcs_2_100_2_0.txt,10,h3,63,0.0064,True
sigma-2,mglcs_2_100_2_0.txt,10,h4,58,0.005,True
sigma-2,mglcs_2_100_2_0.txt,10,h5,71,0.012,True
sigma-2,mglcs_2_100_2_0.txt,10,h6,70,0.007,True
sigma-2,mglcs_2_100_2_0.txt,10,h7,69,0.0075,True
sigma-2,mglcs_2_100_2_0.txt,10,h8,66,0.0095,True
sigma-2,mglcs_2_100_2_1.txt,10,h1,18,0.0045,True
sigma-2,mglcs_2_100_2_1.txt,10,h2,19,0.004,True
sigma-2,mglcs_2_100_2_1.txt,10,h3,32,0.0035,True
sigma-2,mglcs_2_100_2_1.txt,10,h4,18,0.005,True
sigma-2,mglcs_2_100_2_1.txt,10,h5,19,0.0071,True
