sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_1000_2_2.txt,100,imbs_glcs,h8,4,0.3116,True
sigma-2,mglcs_10_1000_2_2.txt,250,beam_search_glcs,h8,2,0.1445,True
sigma-2,mglcs_10_1000_2_2.txt,250,imbs_glcs,h8,4,0.3199,True
sigma-2,mglcs_10_1000_2_2.txt,500,beam_search_glcs,h8,2,0.1535,True
sigma-2,mglcs_10_1000_2_2.txt,500,imbs_glcs,h8,4,0.3236,True
sigma-2,mglcs_10_1000_2_2.txt,1000,beam_search_glcs,h8,2,0.1541,True
sigma-2,mglcs_10_1000_2_2.txt,1000,imbs_glcs,h8,4,0.3236,True
sigma-2,mglcs_10_1000_2_2.txt,2500,beam_search_glcs,h8,2,0.1551,True
sigma-2,mglcs_10_1000_2_2.txt,2500,imbs_glcs,h8,4,0.3182,True
sigma-2,mglcs_10_1000_2_2.txt,10000,beam_search_glcs,h8,2,0.1454,True
sigma-2,mglcs_10_1000_2_3.txt,1,beam_search_glcs,h2,2,0.0010,True
sigma-2,mglcs_10_1000_2_3.txt,1,imbs_glcs,h2,3,0.0245,True
sigma-2,mglcs_10_1000_2_3.txt,10,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_3.txt,10,imbs_glcs,h2,4,0.1445,True
sigma-2,mglcs_10_1000_2_3.txt,50,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_3.txt,50,imbs_glcs,h2,4,0.1466,True
sigma-2,mglcs_10_1000_2_3.txt,100,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_3.txt,100,imbs_glcs,h2,4,0.1525,True
sigma-2,mglcs_10_1000_2_3.txt,250,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_3.txt,250,imbs_glcs,h2,4,0.1430,True
sigma-2,mglcs_10_1000_2_3.txt,500,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_3.txt,500,imbs_glcs,h2,4,0.1435,True
sigma-2,mglcs_10_1000_2_3.txt,1000,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_3.txt,1000,imbs_glcs,h2,4,0.1451,True
sigma-2,mglcs_10_1000_2_3.txt,2500,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_3.txt,2500,imbs_glcs,h2,4,0.1436,True
sigma-2,mglcs_10_1000_2_3.txt,10000,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_3.txt,1,beam_search_glcs,h5,2,0.0050,True
sigma-2,mglcs_10_1000_2_3.txt,1,imbs_glcs,h5,2,0.0240,True
sigma-2,mglcs_10_1000_2_3.txt,10,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_3.txt,10,imbs_glcs,h5,4,0.1430,True
sigma-2,mglcs_10_1000_2_3.txt,50,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_3.txt,50,imbs_glcs,h5,4,0.1455,True
sigma-2,mglcs_10_1000_2_3.txt,100,beam_search_glcs,h5,3,0.0050,True
sigma-2,mglcs_10_1000_2_3.txt,100,imbs_glcs,h5,4,0.1567,True
sigma-2,mglcs_10_1000_2_3.txt,250,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_3.txt,250,imbs_glcs,h5,4,0.1395,True
sigma-2,mglcs_10_1000_2_3.txt,500,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_3.txt,500,imbs_glcs,h5,4,0.1571,True
sigma-2,mglcs_10_1000_2_3.txt,1000,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_3.txt,1000,imbs_glcs,h5,4,0.1471,True
sigma-2,mglcs_10_1000_2_3.txt,2500,beam_search_glcs,h5,3,0.0050,True
sigma-2,mglcs_10_1000_2_3.txt,2500,imbs_glcs,h5,4,0.1465,True
sigma-2,mglcs_10_1000_2_3.txt,10000,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_3.txt,1,beam_search_glcs,h8,2,0.1501,True
sigma-2,mglcs_10_1000_2_3.txt,1,imbs_glcs,h8,2,0.1665,True
sigma-2,mglcs_10_1000_2_3.txt,10,beam_search_glcs,h8,3,0.1471,True
sigma-2,mglcs_10_1000_2_3.txt,10,imbs_glcs,h8,4,0.2931,True
sigma-2,mglcs_10_1000_2_3.txt,50,beam_search_glcs,h8,3,0.1525,True
