sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_2_200_2_5.txt,10,h1,6,0.0000,True
sigma-2,mglcs_2_200_2_5.txt,10,h2,6,0.0010,True
sigma-2,mglcs_2_200_2_5.txt,10,h3,6,0.0000,True
sigma-2,mglcs_2_200_2_5.txt,10,h4,6,0.0013,True
sigma-2,mglcs_2_200_2_5.txt,10,h5,6,0.0010,True
sigma-2,mglcs_2_200_2_5.txt,10,h6,6,0.0000,True
sigma-2,mglcs_2_200_2_5.txt,10,h7,6,0.0010,True
sigma-2,mglcs_2_200_2_6.txt,10,h1,134,0.0125,True
sigma-2,mglcs_2_200_2_6.txt,10,h2,104,0.0136,True
sigma-2,mglcs_2_200_2_6.txt,10,h3,66,0.0071,True
sigma-2,mglcs_2_200_2_6.txt,10,h4,129,0.0135,True
sigma-2,mglcs_2_200_2_6.txt,10,h5,104,0.0200,True
sigma-2,mglcs_2_200_2_6.txt,10,h6,67,0.0081,True
sigma-2,mglcs_2_200_2_6.txt,10,h7,104,0.0137,True
sigma-2,mglcs_2_200_2_7.txt,10,h1,18,0.0030,True
sigma-2,mglcs_2_200_2_7.txt,10,h2,17,0.0030,True
sigma-2,mglcs_2_200_2_7.txt,10,h3,18,0.0025,True
sigma-2,mglcs_2_200_2_7.txt,10,h4,18,0.0030,True
sigma-2,mglcs_2_200_2_7.txt,10,h5,18,0.0050,True
sigma-2,mglcs_2_200_2_7.txt,10,h6,18,0.0025,True
sigma-2,mglcs_2_200_2_7.txt,10,h7,17,0.0020,True
sigma-2,mglcs_2_200_2_8.txt,10,h1,128,0.0171,True
sigma-2,mglcs_2_200_2_8.txt,10,h2,76,0.0125,True
sigma-2,mglcs_2_200_2_8.txt,10,h3,68,0.0105,True
sigma-2,mglcs_2_200_2_8.txt,10,h4,128,0.0219,True
sigma-2,mglcs_2_200_2_8.txt,10,h5,138,0.0361,True
sigma-2,mglcs_2_200_2_8.txt,10,h6,137,0.0185,True
sigma-2,mglcs_2_200_2_8.txt,10,h7,71,0.0125,True
sigma-2,mglcs_2_200_2_9.txt,10,h1,12,0.0020,True
sigma-2,mglcs_2_200_2_9.txt,10,h2,12,0.0010,True
sigma-2,mglcs_2_200_2_9.txt,10,h3,12,0.0010,True
sigma-2,mglcs_2_200_2_9.txt,10,h4,12,0.0015,True
sigma-2,mglcs_2_200_2_9.txt,10,h5,12,0.0020,True
sigma-2,mglcs_2_200_2_9.txt,10,h6,12,0.0020,True
sigma-2,mglcs_2_200_2_9.txt,10,h7,12,0.0010,True
sigma-2,mglcs_2_50_2_0.txt,10,h1,24,0.0000,True
sigma-2,mglcs_2_50_2_0.txt,10,h2,24,0.0010,True
sigma-2,mglcs_2_50_2_0.txt,10,h3,24,0.0010,True
sigma-2,mglcs_2_50_2_0.txt,10,h4,24,0.0000,True
sigma-2,mglcs_2_50_2_0.txt,10,h5,24,0.0000,True
sigma-2,mglcs_2_50_2_0.txt,10,h6,24,0.0015,True
sigma-2,mglcs_2_50_2_0.txt,10,h7,24,0.0000,True
sigma-2,mglcs_2_50_2_1.txt,10,h1,33,0.0020,True
sigma-2,mglcs_2_50_2_1.txt,10,h2,34,0.0020,True
sigma-2,mglcs_2_50_2_1.txt,10,h3,34,0.0020,True
sigma-2,mglcs_2_50_2_1.txt,10,h4,33,0.0020,True
sigma-2,mglcs_2_50_2_1.txt,10,h5,34,0.0033,True
sigma-2,mglcs_2_50_2_1.txt,10,h6,34,0.0040,True
sigma-2,mglcs_2_50_2_1.txt,10,h7,34,0.0030,True
sigma-2,mglcs_2_50_2_2.txt,10,h1,34,0.0021,True
sigma-2,mglcs_2_50_2_2.txt,10,h2,21,0.0020,True
sigma-2,mglcs_2_50_2_2.txt,10,h3,34,0.0020,True
sigma-2,mglcs_2_50_2_2.txt,10,h4,35,0.0020,True
sigma-2,mglcs_2_50_2_2.txt,10,h5,36,0.0042,True
sigma-2,mglcs_2_50_2_2.txt,10,h6,36,0.0020,True
sigma-2,mglcs_2_50_2_2.txt,10,h7,36,0.0020,True
sigma-2,mglcs_2_50_2_3.txt,10,h1,34,0.0010,True
sigma-2,mglcs_2_50_2_3.txt,10,h2,38,0.0010,True
sigma-2,mglcs_2_50_2_3.txt,10,h3,38,0.0025,True
sigma-2,mglcs_2_50_2_3.txt,10,h4,34,0.0010,True
sigma-2,mglcs_2_50_2_3.txt,10,h5,38,0.0030,True
sigma-2,mglcs_2_50_2_3.txt,10,h6,36,0.0010,True
sigma-2,mglcs_2_50_2_3.txt,10,h7,38,0.0020,True
sigma-2,mglcs_2_50_2_4.txt,10,h1,37,0.0000,True
sigma-2,mglcs_2_50_2_4.txt,10,h2,37,0.0000,True
sigma-2,mglcs_2_50_2_4.txt,10,h3,37,0.0012,True
sigma-2,mglcs_2_50_2_4.txt,10,h4,37,0.0010,True
sigma-2,mglcs_2_50_2_4.txt,10,h5,37,0.0020,True
sigma-2,mglcs_2_50_2_4.txt,10,h6,37,0.0000,True
sigma-2,mglcs_2_50_2_4.txt,10,h7,37,0.0010,True
